지점,지점명,일시,기온,강수량,풍속,습도
119,수원,2023-09-01 4:00,18.9,,1.7,97
119,수원,2023-09-01 5:00,18.5,,0,97
119,수원,2023-09-01 6:00,18.6,,0,98
119,수원,2023-09-01 7:00,19.4,,0.4,99
119,수원,2023-09-01 8:00,21.4,,0.9,92
119,수원,2023-09-01 9:00,23.8,,0.3,77
119,수원,2023-09-01 10:00,25.5,,1.2,67
119,수원,2023-09-01 11:00,27.1,,2.4,53
119,수원,2023-09-01 12:00,27.8,,2.5,49
119,수원,2023-09-01 13:00,28.3,,3.1,43
119,수원,2023-09-01 14:00,28.8,,3,42
119,수원,2023-09-01 15:00,29.6,,2.9,43
119,수원,2023-09-01 16:00,29.3,,2.9,43
119,수원,2023-09-01 17:00,29.3,,2,44
119,수원,2023-09-01 18:00,27.5,,2.8,56
119,수원,2023-09-01 19:00,24.2,,2.3,74
119,수원,2023-09-01 20:00,23,,1.2,77
119,수원,2023-09-01 21:00,22.2,,0.7,79
119,수원,2023-09-01 22:00,21.6,,0.2,83
119,수원,2023-09-01 23:00,21.4,,1,84
119,수원,2023-09-02 0:00,21.3,,1,84
119,수원,2023-09-02 1:00,20.4,,0.4,89
119,수원,2023-09-02 2:00,19.8,,0,92
119,수원,2023-09-02 3:00,19.5,,1.1,94
119,수원,2023-09-02 4:00,19.1,,0.5,94
119,수원,2023-09-02 5:00,18.7,,0.3,96
119,수원,2023-09-02 6:00,18.5,,0,95
119,수원,2023-09-02 7:00,19.3,,0.1,97
119,수원,2023-09-02 8:00,22.1,,1.3,88
119,수원,2023-09-02 9:00,24.1,,1.2,75
119,수원,2023-09-02 10:00,26.2,,2,62
119,수원,2023-09-02 11:00,27.3,,2.1,51
119,수원,2023-09-02 12:00,28,,2.1,51
119,수원,2023-09-02 13:00,28.8,,2.4,51
119,수원,2023-09-02 14:00,29.9,,2,45
119,수원,2023-09-02 15:00,30.3,,2,41
119,수원,2023-09-02 16:00,30.7,,1,44
119,수원,2023-09-02 17:00,30.3,,1.5,44
119,수원,2023-09-02 18:00,29.3,,1.4,46
119,수원,2023-09-02 19:00,26.8,,1.5,56
119,수원,2023-09-02 20:00,24.8,,0.3,68
119,수원,2023-09-02 21:00,23.9,,0.3,80
119,수원,2023-09-02 22:00,23.5,,0,82
119,수원,2023-09-02 23:00,24.1,,1.7,71
119,수원,2023-09-03 0:00,25,,1.6,70
119,수원,2023-09-03 1:00,24.8,,0.7,72
119,수원,2023-09-03 2:00,24.8,0,1.2,75
119,수원,2023-09-03 3:00,22.9,1.4,2.3,91
119,수원,2023-09-03 4:00,22.7,3.3,0.5,96
119,수원,2023-09-03 5:00,22.7,,1.2,94
119,수원,2023-09-03 6:00,22.7,0.2,0.9,94
119,수원,2023-09-03 7:00,23,0,2.2,92
119,수원,2023-09-03 8:00,23,0.1,1.6,93
119,수원,2023-09-03 9:00,23.3,0.8,2.1,93
119,수원,2023-09-03 10:00,25.4,,2.8,83
119,수원,2023-09-03 11:00,26.7,,1.6,78
119,수원,2023-09-03 12:00,27.8,,2,75
119,수원,2023-09-03 13:00,28.5,,2.7,72
119,수원,2023-09-03 14:00,29.5,,1.4,69
119,수원,2023-09-03 15:00,28.9,,1.6,71
119,수원,2023-09-03 16:00,28.6,,1.9,71
119,수원,2023-09-03 17:00,28.8,,1.6,72
119,수원,2023-09-03 18:00,28.3,,0.9,72
119,수원,2023-09-03 19:00,26.4,0,2.5,77
119,수원,2023-09-03 20:00,25.8,0,0.6,82
119,수원,2023-09-03 21:00,26,,0.4,82
119,수원,2023-09-03 22:00,25.5,,1.1,84
119,수원,2023-09-03 23:00,25.6,,1.2,83
119,수원,2023-09-04 0:00,25.5,,1.1,83
119,수원,2023-09-04 1:00,24.9,,1,86
119,수원,2023-09-04 2:00,24.9,,0.8,85
119,수원,2023-09-04 3:00,25.1,,1.4,84
119,수원,2023-09-04 4:00,23.9,3.7,2.2,95
119,수원,2023-09-04 5:00,23.8,0.3,0.9,96
119,수원,2023-09-04 6:00,23.7,0,0.7,96
119,수원,2023-09-04 7:00,24,,0.9,96
