,정류장명,위도,경도,정류장_구
0,무궁화전자,37.2617667,127.0637667,영통구
1,원천삼성아파트,37.2652167,127.06065,영통구
2,원일초교,37.26665,127.0593667,영통구
3,원천레이크파크아파트,37.2697333,127.06295,영통구
4,광교호수공원입구.원천교사거리,37.2709333,127.0596,영통구
5,광교호반베르디움,37.2716333,127.05775,영통구
6,남부경찰서.성일아파트,37.2725167,127.0554333,영통구
7,KT동수원지사,37.2735833,127.0511,영통구
8,구법원사거리,37.27395,127.0471833,영통구
9,아주대학교입구,37.27585,127.0438667,영통구
10,아주대.아주대학교병원,37.2786,127.0437,영통구
11,효성초등학교,37.28205,127.03955,팔달구
12,수원월드컵경기장.동성중학교,37.2853667,127.03515,팔달구
13,여권민원실.풍림아파트,37.2875333,127.0335,팔달구
14,우만동4단지,37.2922167,127.0308833,팔달구
15,경기남부경찰청.봉녕사입구,37.2935667,127.0342167,팔달구
16,경기대수원캠퍼스후문,37.29775,127.0419167,영통구
17,광교역.광교대학로,37.3,127.0440833,영통구
18,광교초등학교.광교홍재도서관,37.30385,127.0475,영통구
19,광교한양수자인.호반가든하임,37.3052667,127.0487167,영통구
20,광교해모로아파트,37.3058833,127.0515833,영통구
21,경기대수원캠퍼스후문.수원박물관,37.2970833,127.03975,영통구
22,연무동,37.2926333,127.0319167,장안구
23,수원시글로벌평생학습관.우만주공아파트,37.2907333,127.0298167,팔달구
24,대광빌리지,37.2589333,127.0651,영통구
25,서분당IC(경유),37.3614333,127.0626333,권선구
26,경희대학교,37.2477833,127.07745,영통구
27,살구골.서광아파트,37.2473167,127.0731,영통구
28,살구골동아아파트,37.2477167,127.0679833,영통구
29,살구골현대아파트.영통역4번출구,37.2502,127.0704,영통구
30,영통역,37.2537667,127.0739,영통구
31,청명역3번출구,37.2588,127.0786333,영통구
32,황골벽산아파트,37.2661333,127.0824167,영통구
33,영통입구,37.26875,127.0830667,영통구
34,황골주공.벽산아파트,37.2653,127.0819,영통구
35,청명역4번출구,37.2582833,127.07745,영통구
36,훼미리타워,37.2551833,127.07455,영통구
37,영통역8번출구,37.25235,127.0719167,영통구
38,극동.풍림아파트,37.2493,127.0688833,영통구
39,e편한세상아파트,37.2463,127.0672167,영통구
40,서그내,37.24705,127.07345,영통구
41,경희대정문,37.2477667,127.0784833,영통구
42,수원역,37.2679667,127.0000833,팔달구
43,고등동구터미널,37.2710833,127.0010167,팔달구
